,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
30738,10866178,42446,NIFTY23MAR11000CE,NIFTY,0,2023-03-29,11000.0,0.05,50,CE,NFO-OPT,NFO
30739,10866434,42447,NIFTY23MAR11000PE,NIFTY,0,2023-03-29,11000.0,0.05,50,PE,NFO-OPT,NFO
30740,14658562,57260,NIFTY23MAR12000CE,NIFTY,0,2023-03-29,12000.0,0.05,50,CE,NFO-OPT,NFO
30741,14658818,57261,NIFTY23MAR12000PE,NIFTY,0,2023-03-29,12000.0,0.05,50,PE,NFO-OPT,NFO
30742,14659074,57262,NIFTY23MAR13000CE,NIFTY,0,2023-03-29,13000.0,0.05,50,CE,NFO-OPT,NFO
30743,14659330,57263,NIFTY23MAR13000PE,NIFTY,0,2023-03-29,13000.0,0.05,50,PE,NFO-OPT,NFO
30744,14659586,57264,NIFTY23MAR14000CE,NIFTY,0,2023-03-29,14000.0,0.05,50,CE,NFO-OPT,NFO
30745,14659842,57265,NIFTY23MAR14000PE,NIFTY,0,2023-03-29,14000.0,0.05,50,PE,NFO-OPT,NFO
30746,14660098,57266,NIFTY23MAR15000CE,NIFTY,0,2023-03-29,15000.0,0.05,50,CE,NFO-OPT,NFO
30747,14660354,57267,NIFTY23MAR15000PE,NIFTY,0,2023-03-29,15000.0,0.05,50,PE,NFO-OPT,NFO
30748,13631234,53247,NIFTY23MAR15950CE,NIFTY,0,2023-03-29,15950.0,0.05,50,CE,NFO-OPT,NFO
30749,13631490,53248,NIFTY23MAR15950PE,NIFTY,0,2023-03-29,15950.0,0.05,50,PE,NFO-OPT,NFO
30750,14660610,57268,NIFTY23MAR16000CE,NIFTY,0,2023-03-29,16000.0,0.05,50,CE,NFO-OPT,NFO
30751,14660866,57269,NIFTY23MAR16000PE,NIFTY,0,2023-03-29,16000.0,0.05,50,PE,NFO-OPT,NFO
30752,13631746,53249,NIFTY23MAR16050CE,NIFTY,0,2023-03-29,16050.0,0.05,50,CE,NFO-OPT,NFO
30753,13632002,53250,NIFTY23MAR16050PE,NIFTY,0,2023-03-29,16050.0,0.05,50,PE,NFO-OPT,NFO
30754,13632258,53251,NIFTY23MAR16100CE,NIFTY,0,2023-03-29,16100.0,0.05,50,CE,NFO-OPT,NFO
30755,13632514,53252,NIFTY23MAR16100PE,NIFTY,0,2023-03-29,16100.0,0.05,50,PE,NFO-OPT,NFO
30756,13632770,53253,NIFTY23MAR16150CE,NIFTY,0,2023-03-29,16150.0,0.05,50,CE,NFO-OPT,NFO
30757,13633026,53254,NIFTY23MAR16150PE,NIFTY,0,2023-03-29,16150.0,0.05,50,PE,NFO-OPT,NFO
30758,13633282,53255,NIFTY23MAR16200CE,NIFTY,0,2023-03-29,16200.0,0.05,50,CE,NFO-OPT,NFO
30759,13633538,53256,NIFTY23MAR16200PE,NIFTY,0,2023-03-29,16200.0,0.05,50,PE,NFO-OPT,NFO
30760,13633794,53257,NIFTY23MAR16250CE,NIFTY,0,2023-03-29,16250.0,0.05,50,CE,NFO-OPT,NFO
30761,13634050,53258,NIFTY23MAR16250PE,NIFTY,0,2023-03-29,16250.0,0.05,50,PE,NFO-OPT,NFO
30762,13634306,53259,NIFTY23MAR16300CE,NIFTY,0,2023-03-29,16300.0,0.05,50,CE,NFO-OPT,NFO
30763,13634562,53260,NIFTY23MAR16300PE,NIFTY,0,2023-03-29,16300.0,0.05,50,PE,NFO-OPT,NFO
30764,13634818,53261,NIFTY23MAR16350CE,NIFTY,0,2023-03-29,16350.0,0.05,50,CE,NFO-OPT,NFO
30765,13635074,53262,NIFTY23MAR16350PE,NIFTY,0,2023-03-29,16350.0,0.05,50,PE,NFO-OPT,NFO
30766,13635330,53263,NIFTY23MAR16400CE,NIFTY,0,2023-03-29,16400.0,0.05,50,CE,NFO-OPT,NFO
30767,13636098,53266,NIFTY23MAR16400PE,NIFTY,0,2023-03-29,16400.0,0.05,50,PE,NFO-OPT,NFO
30768,13636354,53267,NIFTY23MAR16450CE,NIFTY,0,2023-03-29,16450.0,0.05,50,CE,NFO-OPT,NFO
30769,13636610,53268,NIFTY23MAR16450PE,NIFTY,0,2023-03-29,16450.0,0.05,50,PE,NFO-OPT,NFO
30770,13636866,53269,NIFTY23MAR16500CE,NIFTY,0,2023-03-29,16500.0,0.05,50,CE,NFO-OPT,NFO
30771,13637122,53270,NIFTY23MAR16500PE,NIFTY,0,2023-03-29,16500.0,0.05,50,PE,NFO-OPT,NFO
30772,13637378,53271,NIFTY23MAR16550CE,NIFTY,0,2023-03-29,16550.0,0.05,50,CE,NFO-OPT,NFO
30773,13637634,53272,NIFTY23MAR16550PE,NIFTY,0,2023-03-29,16550.0,0.05,50,PE,NFO-OPT,NFO
30774,13646594,53307,NIFTY23MAR16600CE,NIFTY,0,2023-03-29,16600.0,0.05,50,CE,NFO-OPT,NFO
30775,13646850,53308,NIFTY23MAR16600PE,NIFTY,0,2023-03-29,16600.0,0.05,50,PE,NFO-OPT,NFO
30776,13647106,53309,NIFTY23MAR16650CE,NIFTY,0,2023-03-29,16650.0,0.05,50,CE,NFO-OPT,NFO
30777,13647874,53312,NIFTY23MAR16650PE,NIFTY,0,2023-03-29,16650.0,0.05,50,PE,NFO-OPT,NFO
30778,13648130,53313,NIFTY23MAR16700CE,NIFTY,0,2023-03-29,16700.0,0.05,50,CE,NFO-OPT,NFO
30779,13649666,53319,NIFTY23MAR16700PE,NIFTY,0,2023-03-29,16700.0,0.05,50,PE,NFO-OPT,NFO
30780,13649922,53320,NIFTY23MAR16750CE,NIFTY,0,2023-03-29,16750.0,0.05,50,CE,NFO-OPT,NFO
30781,13650178,53321,NIFTY23MAR16750PE,NIFTY,0,2023-03-29,16750.0,0.05,50,PE,NFO-OPT,NFO
30782,13650434,53322,NIFTY23MAR16800CE,NIFTY,0,2023-03-29,16800.0,0.05,50,CE,NFO-OPT,NFO
30783,13650946,53324,NIFTY23MAR16800PE,NIFTY,0,2023-03-29,16800.0,0.05,50,PE,NFO-OPT,NFO
30784,13652994,53332,NIFTY23MAR16850CE,NIFTY,0,2023-03-29,16850.0,0.05,50,CE,NFO-OPT,NFO
30785,13653250,53333,NIFTY23MAR16850PE,NIFTY,0,2023-03-29,16850.0,0.05,50,PE,NFO-OPT,NFO
30786,13653506,53334,NIFTY23MAR16900CE,NIFTY,0,2023-03-29,16900.0,0.05,50,CE,NFO-OPT,NFO
30787,13653762,53335,NIFTY23MAR16900PE,NIFTY,0,2023-03-29,16900.0,0.05,50,PE,NFO-OPT,NFO
30788,13654018,53336,NIFTY23MAR16950CE,NIFTY,0,2023-03-29,16950.0,0.05,50,CE,NFO-OPT,NFO
30789,13654274,53337,NIFTY23MAR16950PE,NIFTY,0,2023-03-29,16950.0,0.05,50,PE,NFO-OPT,NFO
30790,14661122,57270,NIFTY23MAR17000CE,NIFTY,0,2023-03-29,17000.0,0.05,50,CE,NFO-OPT,NFO
30791,14661378,57271,NIFTY23MAR17000PE,NIFTY,0,2023-03-29,17000.0,0.05,50,PE,NFO-OPT,NFO
30792,13654530,53338,NIFTY23MAR17050CE,NIFTY,0,2023-03-29,17050.0,0.05,50,CE,NFO-OPT,NFO
30793,13654786,53339,NIFTY23MAR17050PE,NIFTY,0,2023-03-29,17050.0,0.05,50,PE,NFO-OPT,NFO
30794,13655042,53340,NIFTY23MAR17100CE,NIFTY,0,2023-03-29,17100.0,0.05,50,CE,NFO-OPT,NFO
30795,13655298,53341,NIFTY23MAR17100PE,NIFTY,0,2023-03-29,17100.0,0.05,50,PE,NFO-OPT,NFO
30796,13655554,53342,NIFTY23MAR17150CE,NIFTY,0,2023-03-29,17150.0,0.05,50,CE,NFO-OPT,NFO
30797,13655810,53343,NIFTY23MAR17150PE,NIFTY,0,2023-03-29,17150.0,0.05,50,PE,NFO-OPT,NFO
30798,13656322,53345,NIFTY23MAR17200CE,NIFTY,0,2023-03-29,17200.0,0.05,50,CE,NFO-OPT,NFO
30799,13656578,53346,NIFTY23MAR17200PE,NIFTY,0,2023-03-29,17200.0,0.05,50,PE,NFO-OPT,NFO
30800,13656834,53347,NIFTY23MAR17250CE,NIFTY,0,2023-03-29,17250.0,0.05,50,CE,NFO-OPT,NFO
30801,13657090,53348,NIFTY23MAR17250PE,NIFTY,0,2023-03-29,17250.0,0.05,50,PE,NFO-OPT,NFO
30802,13657346,53349,NIFTY23MAR17300CE,NIFTY,0,2023-03-29,17300.0,0.05,50,CE,NFO-OPT,NFO
30803,13658882,53355,NIFTY23MAR17300PE,NIFTY,0,2023-03-29,17300.0,0.05,50,PE,NFO-OPT,NFO
30804,13659138,53356,NIFTY23MAR17350CE,NIFTY,0,2023-03-29,17350.0,0.05,50,CE,NFO-OPT,NFO
30805,13659650,53358,NIFTY23MAR17350PE,NIFTY,0,2023-03-29,17350.0,0.05,50,PE,NFO-OPT,NFO
30806,13659906,53359,NIFTY23MAR17400CE,NIFTY,0,2023-03-29,17400.0,0.05,50,CE,NFO-OPT,NFO
30807,13660162,53360,NIFTY23MAR17400PE,NIFTY,0,2023-03-29,17400.0,0.05,50,PE,NFO-OPT,NFO
30808,13660418,53361,NIFTY23MAR17450CE,NIFTY,0,2023-03-29,17450.0,0.05,50,CE,NFO-OPT,NFO
30809,13661698,53366,NIFTY23MAR17450PE,NIFTY,0,2023-03-29,17450.0,0.05,50,PE,NFO-OPT,NFO
30810,13661954,53367,NIFTY23MAR17500CE,NIFTY,0,2023-03-29,17500.0,0.05,50,CE,NFO-OPT,NFO
30811,13662722,53370,NIFTY23MAR17500PE,NIFTY,0,2023-03-29,17500.0,0.05,50,PE,NFO-OPT,NFO
30812,13664002,53375,NIFTY23MAR17550CE,NIFTY,0,2023-03-29,17550.0,0.05,50,CE,NFO-OPT,NFO
30813,13664514,53377,NIFTY23MAR17550PE,NIFTY,0,2023-03-29,17550.0,0.05,50,PE,NFO-OPT,NFO
30814,13664770,53378,NIFTY23MAR17600CE,NIFTY,0,2023-03-29,17600.0,0.05,50,CE,NFO-OPT,NFO
30815,13665026,53379,NIFTY23MAR17600PE,NIFTY,0,2023-03-29,17600.0,0.05,50,PE,NFO-OPT,NFO
30816,13665282,53380,NIFTY23MAR17650CE,NIFTY,0,2023-03-29,17650.0,0.05,50,CE,NFO-OPT,NFO
30817,13665538,53381,NIFTY23MAR17650PE,NIFTY,0,2023-03-29,17650.0,0.05,50,PE,NFO-OPT,NFO
30818,13666306,53384,NIFTY23MAR17700CE,NIFTY,0,2023-03-29,17700.0,0.05,50,CE,NFO-OPT,NFO
30819,13666562,53385,NIFTY23MAR17700PE,NIFTY,0,2023-03-29,17700.0,0.05,50,PE,NFO-OPT,NFO
30820,13666818,53386,NIFTY23MAR17750CE,NIFTY,0,2023-03-29,17750.0,0.05,50,CE,NFO-OPT,NFO
30821,13667074,53387,NIFTY23MAR17750PE,NIFTY,0,2023-03-29,17750.0,0.05,50,PE,NFO-OPT,NFO
30822,13667842,53390,NIFTY23MAR17800CE,NIFTY,0,2023-03-29,17800.0,0.05,50,CE,NFO-OPT,NFO
30823,13668098,53391,NIFTY23MAR17800PE,NIFTY,0,2023-03-29,17800.0,0.05,50,PE,NFO-OPT,NFO
30824,13668866,53394,NIFTY23MAR17850CE,NIFTY,0,2023-03-29,17850.0,0.05,50,CE,NFO-OPT,NFO
30825,13669122,53395,NIFTY23MAR17850PE,NIFTY,0,2023-03-29,17850.0,0.05,50,PE,NFO-OPT,NFO
30826,13669378,53396,NIFTY23MAR17900CE,NIFTY,0,2023-03-29,17900.0,0.05,50,CE,NFO-OPT,NFO
